time,open,high,low,close,tick_volume,spread,real_volume
1683079200,1.10061,1.10138,1.1005,1.10108,848,0,0
1683082800,1.10108,1.10206,1.10049,1.10173,1254,0,0
1683086400,1.10174,1.10242,1.10129,1.10228,1523,0,0
1683090000,1.10228,1.1025800000000001,1.1019700000000001,1.10253,1189,0,0
1683093600,1.10253,1.10299,1.10251,1.10295,805,0,0
1683097200,1.10295,1.10296,1.10214,1.10218,1156,0,0
1683100800,1.10218,1.10265,1.10184,1.10201,1554,0,0
1683104400,1.102,1.1031900000000001,1.10143,1.10308,2387,0,0
1683108000,1.10308,1.10413,1.10261,1.10345,3788,0,0
1683111600,1.10345,1.10469,1.10344,1.10397,3052,0,0
1683115200,1.10395,1.1047,1.10367,1.10405,2573,0,0
1683118800,1.10405,1.10407,1.10297,1.1033,2341,0,0
1683122400,1.10329,1.10437,1.1032,1.10396,2316,0,0
1683126000,1.10396,1.10437,1.10216,1.10385,5085,0,0
1683129600,1.10387,1.10435,1.10288,1.10315,4082,0,0
1683133200,1.10315,1.10594,1.10315,1.10528,5564,0,0
1683136800,1.10528,1.10587,1.10478,1.10478,3906,0,0
1683140400,1.10478,1.10529,1.10444,1.1047,2401,0,0
1683144000,1.1047,1.10534,1.10418,1.10493,1919,0,0
1683147600,1.10493,1.10916,1.10373,1.10601,14446,0,0
1683151200,1.10601,1.10638,1.10406,1.10547,8627,0,0
1683154800,1.1054599999999999,1.1060699999999999,1.10516,1.106,1267,0,0
1683158400,1.10606,1.10663,1.10527,1.10615,655,2,0
1683162000,1.10614,1.10783,1.10614,1.10679,2639,1,0
1683165600,1.10676,1.10727,1.10642,1.1068500000000001,1274,0,0
1683169200,1.10687,1.10873,1.10686,1.10758,2263,0,0
1683172800,1.10758,1.10842,1.10713,1.10815,2550,0,0
1683176400,1.10815,1.10877,1.10802,1.1084100000000001,2144,0,0
1683180000,1.10842,1.10858,1.10802,1.10813,1322,0,0
1683183600,1.10813,1.10874,1.10795,1.10815,1058,0,0
1683187200,1.10815,1.10878,1.108,1.10838,1468,0,0
1683190800,1.1084100000000001,1.10918,1.10727,1.10751,3796,0,0
1683194400,1.10752,1.10768,1.10522,1.1058,4456,0,0
1683198000,1.10581,1.10581,1.10371,1.10401,3781,0,0
1683201600,1.10403,1.10562,1.10366,1.10552,3191,0,0
1683205200,1.1055,1.10634,1.10491,1.10606,2854,0,0
1683208800,1.10606,1.10767,1.10601,1.10745,3193,0,0
1683212400,1.10745,1.10837,1.10013,1.10095,10193,0,0
1683216000,1.10094,1.10555,1.10029,1.10239,10318,0,0
1683219600,1.1024,1.10382,1.09862,1.10002,9907,0,0
1683223200,1.10007,1.10135,1.09953,1.10083,6569,0,0
1683226800,1.10082,1.10306,1.10081,1.10247,4433,0,0
1683230400,1.10248,1.10316,1.1020699999999999,1.10216,3078,0,0
1683234000,1.10216,1.10226,1.10113,1.10158,2580,0,0
1683237600,1.10158,1.10201,1.1013600000000001,1.10147,1674,0,0
1683241200,1.10147,1.10155,1.10125,1.10138,817,0,0
1683244800,1.10105,1.10141,1.10087,1.10137,328,14,0
1683248400,1.10127,1.10214,1.10095,1.10213,745,1,0
1683252000,1.10213,1.10244,1.10194,1.10228,658,0,0
1683255600,1.10228,1.10296,1.10189,1.1025,1051,0,0
1683259200,1.1025,1.10371,1.1025,1.10354,1500,0,0
1683262800,1.10354,1.10371,1.10273,1.10312,1416,0,0
1683266400,1.10312,1.10446,1.1031,1.1044,1313,0,0
1683270000,1.1044100000000001,1.1045,1.10406,1.10418,827,0,0
1683273600,1.10418,1.10464,1.10382,1.104,2107,0,0
1683277200,1.10399,1.10469,1.10301,1.10456,2798,0,0
1683280800,1.10454,1.10479,1.10257,1.10269,3594,0,0
1683284400,1.10269,1.1031900000000001,1.10241,1.10283,3051,0,0
1683288000,1.10283,1.1031900000000001,1.1022,1.10274,2240,0,0
1683291600,1.10275,1.10311,1.10215,1.10249,1765,0,0
1683295200,1.1025,1.1025800000000001,1.10086,1.10095,2187,0,0
1683298800,1.10094,1.10186,1.09667,1.09759,8429,0,0
1683302400,1.0976,1.09962,1.0976,1.09914,7106,0,0
1683306000,1.09914,1.1008,1.09854,1.10069,5118,0,0
1683309600,1.10069,1.10269,1.1005,1.10248,4139,0,0
1683313200,1.10248,1.10367,1.10212,1.10322,2620,0,0
1683316800,1.10322,1.10347,1.10096,1.10116,2542,0,0
1683320400,1.10116,1.1027,1.10108,1.10265,2004,0,0
1683324000,1.10265,1.10265,1.10167,1.10183,1960,0,0
1683327600,1.10183,1.10198,1.10167,1.10182,932,0,0
1683504000,1.10226,1.10226,1.10158,1.10208,482,19,0
1683507600,1.10209,1.10225,1.10142,1.10162,951,1,0
1683511200,1.10162,1.10217,1.10142,1.10182,842,0,0
1683514800,1.10183,1.10253,1.10167,1.10242,1540,0,0
1683518400,1.10243,1.10321,1.10187,1.10313,1486,0,0
1683522000,1.10313,1.10371,1.10281,1.1032,1460,0,0
1683525600,1.1032,1.10399,1.10314,1.1039,996,0,0
1683529200,1.10391,1.10443,1.10386,1.10436,1163,0,0
1683532800,1.10438,1.10445,1.10368,1.1039,1401,0,0
1683536400,1.1039,1.10506,1.10375,1.10483,1902,0,0
1683540000,1.10483,1.1050200000000001,1.10383,1.10494,2908,0,0
1683543600,1.10493,1.10538,1.10359,1.10362,3319,0,0
1683547200,1.10366,1.10392,1.1023,1.10361,2939,0,0
1683550800,1.10361,1.10503,1.10355,1.1048,2153,0,0
1683554400,1.10481,1.10515,1.10302,1.1035,2557,0,0
1683558000,1.1035,1.10411,1.1032,1.10371,3093,0,0
1683561600,1.10371,1.10444,1.10336,1.10434,2991,0,0
1683565200,1.10435,1.1044100000000001,1.1013,1.10159,3585,0,0
1683568800,1.10159,1.10235,1.10117,1.10198,2535,0,0
1683572400,1.10198,1.10292,1.10189,1.10272,1701,0,0
1683576000,1.10275,1.10293,1.10133,1.10157,1287,0,0
1683579600,1.10156,1.10156,1.10051,1.10057,2345,0,0
1683583200,1.1006,1.10078,1.10002,1.10019,1517,0,0
1683586800,1.10018,1.10046,1.10001,1.10043,791,0,0
1683590400,1.10033,1.1005,1.09978,1.10039,1873,10,0
1683594000,1.10039,1.10039,1.1001,1.10013,653,2,0
1683597600,1.10013,1.1002399999999999,1.09953,1.09964,595,0,0
1683601200,1.09964,1.09974,1.0985,1.09898,2233,0,0
1683604800,1.09898,1.09949,1.09871,1.09876,1369,0,0
1683608400,1.09876,1.09926,1.0985,1.09905,1108,0,0
1683612000,1.09906,1.0994,1.09881,1.09938,972,0,0
1683615600,1.0994,1.09954,1.09885,1.09889,915,0,0
1683619200,1.09887,1.09943,1.09846,1.09942,1520,0,0
1683622800,1.09942,1.10008,1.09873,1.09943,3040,0,0
1683626400,1.09943,1.10003,1.09728,1.09782,4435,0,0
1683630000,1.09781,1.09863,1.09743,1.09789,3393,0,0
1683633600,1.09789,1.09844,1.09778,1.09842,2333,0,0
1683637200,1.09842,1.09843,1.09774,1.09799,1988,0,0
1683640800,1.09799,1.09828,1.09591,1.09636,2492,0,0
1683644400,1.09638,1.09672,1.09499,1.09501,3482,0,0
1683648000,1.09501,1.09636,1.09411,1.0962,4497,0,0
1683651600,1.09621,1.09645,1.09533,1.0956,4348,0,0
1683655200,1.0956,1.09603,1.0951,1.09529,2798,0,0
1683658800,1.09528,1.09608,1.09493,1.0955300000000001,2205,0,0
1683662400,1.0955300000000001,1.09647,1.09544,1.09638,2036,0,0
1683666000,1.09638,1.09725,1.09613,1.09666,1933,0,0
1683669600,1.09666,1.09699,1.09615,1.09628,1422,0,0
1683673200,1.09627,1.09639,1.09595,1.09604,747,0,0
1683676800,1.09606,1.09635,1.0945,1.09461,1582,12,0
1683680400,1.09585,1.09672,1.09572,1.0965,1175,1,0
1683684000,1.0965,1.09689,1.09639,1.09646,606,0,0
1683687600,1.09646,1.09721,1.09645,1.09692,1360,0,0
