time,open,high,low,close,tick_volume
2024-10-07 00:01:00,1.09633,1.09633,1.09633,1.09633,1
2024-10-07 00:02:00,1.0972,1.0972,1.09632,1.09632,4
2024-10-07 00:03:00,1.09636,1.09636,1.09543,1.09587,9
2024-10-07 00:04:00,1.09588,1.0959,1.09568,1.09581,5
2024-10-07 00:05:00,1.09633,1.0966,1.09628,1.09651,20
2024-10-07 00:06:00,1.09652,1.09665,1.09619,1.09619,12
2024-10-07 00:07:00,1.09619,1.09619,1.09619,1.09619,1
2024-10-07 00:08:00,1.0968,1.0968,1.09619,1.09619,2
2024-10-07 00:09:00,1.0968,1.0968,1.09628,1.09628,2
2024-10-07 00:10:00,1.09655,1.0968,1.0962,1.0962,13
2024-10-07 00:11:00,1.0968,1.0968,1.0962,1.0962,3
2024-10-07 00:12:00,1.0962,1.09625,1.0962,1.09622,5
2024-10-07 00:13:00,1.09622,1.09668,1.09622,1.09622,3
2024-10-07 00:14:00,1.09622,1.09622,1.09622,1.09622,1
2024-10-07 00:15:00,1.09681,1.09684,1.0968,1.09682,8
2024-10-07 00:16:00,1.0969,1.0969,1.09626,1.09631,13
2024-10-07 00:17:00,1.09631,1.09682,1.09631,1.09665,15
2024-10-07 00:18:00,1.09666,1.09671,1.09654,1.09655,7
2024-10-07 00:19:00,1.09655,1.09662,1.0965,1.09662,5
2024-10-07 00:20:00,1.09662,1.09662,1.09645,1.0965,6
2024-10-07 00:21:00,1.0965,1.09673,1.0965,1.09673,4
2024-10-07 00:22:00,1.09673,1.0967500000000001,1.0967,1.09673,5
2024-10-07 00:23:00,1.09665,1.09665,1.09665,1.09665,1
2024-10-07 00:24:00,1.09673,1.0967500000000001,1.09673,1.09673,3
2024-10-07 00:25:00,1.0967500000000001,1.0967500000000001,1.09673,1.09673,4
2024-10-07 00:26:00,1.09674,1.09677,1.09672,1.0967500000000001,8
2024-10-07 00:27:00,1.09676,1.09676,1.09633,1.09655,8
2024-10-07 00:28:00,1.09644,1.09644,1.09633,1.09633,6
2024-10-07 00:29:00,1.09633,1.09655,1.09633,1.09655,2
2024-10-07 00:30:00,1.09671,1.09693,1.09671,1.09692,14
2024-10-07 00:31:00,1.09692,1.09701,1.09687,1.09701,11
2024-10-07 00:32:00,1.09701,1.0971,1.09699,1.09704,11
2024-10-07 00:33:00,1.09706,1.09715,1.09705,1.09715,4
2024-10-07 00:34:00,1.09715,1.09715,1.09715,1.09715,1
2024-10-07 00:35:00,1.09715,1.09715,1.09715,1.09715,1
2024-10-07 00:36:00,1.09717,1.09717,1.09717,1.09717,1
2024-10-07 00:37:00,1.09717,1.09717,1.09717,1.09717,1
2024-10-07 00:38:00,1.09717,1.09717,1.09717,1.09717,1
2024-10-07 00:39:00,1.09717,1.09721,1.09716,1.09721,4
2024-10-07 00:40:00,1.09722,1.09722,1.09669,1.0967,35
2024-10-07 00:41:00,1.09673,1.09701,1.09673,1.09688,31
2024-10-07 00:42:00,1.09688,1.09688,1.09686,1.09686,2
2024-10-07 00:43:00,1.09689,1.09694,1.09689,1.09694,4
2024-10-07 00:44:00,1.09693,1.09693,1.09692,1.09692,4
2024-10-07 00:45:00,1.09692,1.09698,1.09689,1.09694,11
2024-10-07 00:46:00,1.09695,1.09695,1.0969,1.09694,5
2024-10-07 00:47:00,1.09694,1.09694,1.09692,1.09692,2
