ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,outcome,formatted_type,Cumulative_Profit_Loss
51703931783,51736362534,2024-10-25 13:40:30,1729863630220,1,0,234000,51736362534,3,10.0,1.0826,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,sell,0.0
51703933650,51736364442,2024-10-25 13:41:00,1729863660760,0,0,234000,51736364442,3,10.0,1.0826,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,buy,0.0
51703935168,51736365974,2024-10-25 13:41:31,1729863691114,0,0,234000,51736365974,3,10.0,1.0826,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,buy,0.0
51703941358,51736372295,2024-10-25 13:43:31,1729863811927,1,0,234000,51736372295,3,10.0,1.08258,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,sell,0.0
51703947782,51736378792,2024-10-25 13:45:09,1729863909217,1,1,234000,51736364442,4,10.0,1.08245,0.0,0.0,-150.0,0.0,EURUSD,[sl 1.08245],,loss,sell,-150.0
51703947783,51736378793,2024-10-25 13:45:09,1729863909219,1,1,234000,51736365974,4,10.0,1.08245,0.0,0.0,-150.0,0.0,EURUSD,[sl 1.08245],,loss,sell,-300.0
51703947784,51736378794,2024-10-25 13:45:09,1729863909221,0,1,234000,51736362534,5,10.0,1.0825,0.0,0.0,100.0,0.0,EURUSD,[tp 1.08250],,profit,buy,-200.0
51703949421,51736380450,2024-10-25 13:45:32,1729863932706,0,0,234000,51736380450,3,10.0,1.08256,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,buy,-200.0
51703951094,51736382172,2024-10-25 13:46:03,1729863963060,1,0,234000,51736382172,3,10.0,1.08251,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,sell,-200.0
51703955378,51736386330,2024-10-25 13:47:03,1729864023651,0,0,234000,51736386330,3,10.0,1.08257,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,buy,-200.0
51703986924,51736418328,2024-10-25 13:56:22,1729864582909,0,1,234000,51736372295,5,10.0,1.0824799999999999,0.0,0.0,100.0,0.0,EURUSD,[tp 1.08248],,profit,buy,-100.0
51703989973,51736421431,2024-10-25 13:57:06,1729864626462,1,1,234000,51736386330,4,10.0,1.08242,0.0,0.0,-150.0,0.0,EURUSD,[sl 1.08242],,loss,sell,-250.0
51703990010,51736421456,2024-10-25 13:57:07,1729864627061,1,1,234000,51736380450,4,10.0,1.08241,0.0,0.0,-150.0,0.0,EURUSD,[sl 1.08241],,loss,sell,-400.0
51703991944,51736423404,2024-10-25 13:57:36,1729864656007,0,0,234000,51736423404,3,10.0,1.08245,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,buy,-400.0
51703993013,51736424456,2024-10-25 13:57:50,1729864670587,0,1,0,51736382172,1,10.0,1.08246,0.0,0.0,50.0,0.0,EURUSD,,,profit,buy,-350.0
51703993976,51736425458,2024-10-25 13:58:06,1729864686384,1,0,234000,51736425458,3,10.0,1.08246,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,sell,-350.0
51703996026,51736427558,2024-10-25 13:58:36,1729864716736,1,0,234000,51736427558,3,10.0,1.08237,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,sell,-350.0
51703997022,51736428574,2024-10-25 13:58:52,1729864732084,1,1,234000,51736423404,4,10.0,1.0823,0.0,0.0,-150.0,0.0,EURUSD,[sl 1.08230],,loss,sell,-500.0
51703997596,51736429141,2024-10-25 13:59:02,1729864742291,0,1,234000,51736425458,5,10.0,1.08236,0.0,0.0,100.0,0.0,EURUSD,[tp 1.08236],,profit,buy,-400.0
51703998003,51736429554,2024-10-25 13:59:07,1729864747126,1,0,234000,51736429554,3,10.0,1.0823,0.0,0.0,0.0,0.0,EURUSD,Automated trade,,no profit/loss,sell,-400.0
51704000335,51736431922,2024-10-25 13:59:46,1729864786250,0,1,234000,51736429554,4,10.0,1.08245,0.0,0.0,-150.0,0.0,EURUSD,[sl 1.08245],,loss,buy,-550.0
