Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Buy,2.0,1.09823,1.0979700000000001,1.08823,1.10823,Loss
Buy,2.0,1.09802,1.09772,1.08802,1.10802,Loss
Sell,2.0,1.09772,1.0976,1.10772,1.08772,Loss
Sell,2.0,1.09756,1.09763,1.10756,1.08756,Profit
Buy,2.0,1.09764,1.09767,1.08764,1.10764,Profit
Buy,2.0,1.09772,1.09786,1.08772,1.10772,Profit
Buy,2.0,1.09791,1.0979,1.08791,1.10791,Loss
Buy,2.0,1.09796,1.0977999999999999,1.08796,1.10796,Loss
Buy,2.0,1.09783,1.09786,1.08783,1.10783,Profit
Sell,2.0,1.09786,1.09776,1.10786,1.08786,Loss
Sell,2.0,1.09772,1.09769,1.10772,1.08772,Loss
Sell,2.0,1.09765,1.09775,1.10765,1.08765,Profit
Sell,2.0,1.09771,1.09779,1.10771,1.08771,Profit
Sell,2.0,1.09772,1.09781,1.10772,1.08772,Profit
Sell,2.0,1.09776,1.09766,1.10776,1.08776,Loss
Sell,2.0,1.09762,1.09765,1.10762,1.08762,Profit
Sell,2.0,1.09757,1.09771,1.10757,1.08757,Profit
Sell,2.0,1.09767,1.09772,1.10767,1.08767,Profit
Sell,2.0,1.09767,1.09767,1.10767,1.08767,Loss
Sell,2.0,1.09762,1.09761,1.10762,1.08762,Loss
Sell,2.0,1.09757,1.09763,1.10757,1.08757,Profit
Sell,2.0,1.09759,1.09762,1.10759,1.08759,Profit
Sell,2.0,1.0976,1.09761,1.1076,1.0876,Profit
Sell,2.0,1.09757,1.09771,1.10757,1.08757,Profit
Sell,2.0,1.09767,1.09781,1.10767,1.08767,Profit
Sell,2.0,1.09776,1.09772,1.10776,1.08776,Loss
Sell,2.0,1.09768,1.09781,1.10768,1.08768,Profit
Sell,2.0,1.09778,1.09793,1.10778,1.08778,Profit
Sell,2.0,1.09789,1.09802,1.10789,1.08789,Profit
Sell,2.0,1.0979700000000001,1.09795,1.1079700000000001,1.08797,Loss
