Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Sell,2.0,1.0952,1.09527,1.1052,1.0852,Profit
Sell,2.0,1.09522,1.09544,1.10522,1.08522,Profit
Sell,2.0,1.09542,1.09547,1.10542,1.08542,Profit
Sell,2.0,1.09543,1.09551,1.10543,1.08543,Profit
Sell,2.0,1.09547,1.09562,1.10547,1.08547,Profit
Sell,2.0,1.09557,1.09561,1.10557,1.08557,Profit
Sell,2.0,1.09556,1.09571,1.10556,1.08556,Profit
Sell,2.0,1.09567,1.09562,1.10567,1.08567,Loss
Sell,2.0,1.09558,1.09576,1.10558,1.08558,Profit
Sell,2.0,1.09572,1.09551,1.10572,1.08572,Loss
Sell,2.0,1.09548,1.09552,1.10548,1.08548,Profit
Sell,2.0,1.0955,1.09572,1.1055,1.0855,Profit
Sell,2.0,1.09567,1.09572,1.10567,1.08567,Profit
Sell,2.0,1.09567,1.09569,1.10567,1.08567,Profit
Sell,2.0,1.09564,1.09583,1.10564,1.08564,Profit
Sell,2.0,1.09579,1.09591,1.10579,1.08579,Profit
Sell,2.0,1.09585,1.0959,1.10585,1.08585,Profit
Sell,2.0,1.09587,1.09605,1.10587,1.08587,Profit
Sell,2.0,1.09601,1.09604,1.10601,1.08601,Profit
Sell,2.0,1.09603,1.09596,1.10603,1.08603,Loss
Sell,2.0,1.09593,1.096,1.10593,1.08593,Profit
Sell,2.0,1.09596,1.09596,1.10596,1.08596,Loss
Sell,2.0,1.09592,1.09605,1.10592,1.08592,Profit
Sell,2.0,1.09601,1.09592,1.10601,1.08601,Loss
Sell,2.0,1.09588,1.09579,1.10588,1.08588,Loss
Sell,2.0,1.09575,1.0958,1.10575,1.08575,Profit
Sell,2.0,1.09576,1.09591,1.10576,1.08576,Profit
Sell,2.0,1.09587,1.09587,1.10587,1.08587,Loss
Sell,2.0,1.09582,1.09587,1.10582,1.08582,Profit
Sell,2.0,1.09583,1.09578,1.10583,1.08583,Loss
Sell,2.0,1.09573,1.09587,1.10573,1.08573,Profit
Sell,2.0,1.09583,1.09594,1.10583,1.08583,Profit
Sell,2.0,1.09592,1.09595,1.10592,1.08592,Profit
Sell,2.0,1.09592,1.09589,1.10592,1.08592,Loss
Sell,2.0,1.09588,1.096,1.10588,1.08588,Profit
Sell,2.0,1.09595,1.09599,1.10595,1.08595,Profit
Sell,2.0,1.09595,1.09601,1.10595,1.08595,Profit
Sell,2.0,1.0959699999999999,1.09617,1.10597,1.0859699999999999,Profit
Sell,2.0,1.09613,1.09628,1.10613,1.08613,Profit
Sell,2.0,1.09627,1.09643,1.10627,1.08627,Profit
Sell,2.0,1.09643,1.09656,1.10643,1.08643,Profit
Sell,2.0,1.09652,1.09652,1.10652,1.08652,Loss
Sell,2.0,1.09648,1.09661,1.10648,1.08648,Profit
Sell,2.0,1.09657,1.09667,1.10657,1.08657,Profit
Sell,2.0,1.09662,1.09667,1.10662,1.08662,Profit
Sell,2.0,1.09663,1.09672,1.10663,1.08663,Profit
Sell,2.0,1.09667,1.09661,1.10667,1.08667,Loss
Sell,2.0,1.09657,1.0966,1.10657,1.08657,Profit
Sell,2.0,1.09655,1.09666,1.10655,1.08655,Profit
Sell,2.0,1.09662,1.09652,1.10662,1.08662,Loss
Sell,2.0,1.09649,1.0965,1.10649,1.08649,Profit
Sell,2.0,1.09645,1.09642,1.10645,1.08645,Loss
Sell,2.0,1.09637,1.09641,1.10637,1.08637,Profit
Sell,2.0,1.09636,1.0963,1.10636,1.08636,Loss
Sell,2.0,1.09624,1.09619,1.1062400000000001,1.08624,Loss
Sell,2.0,1.09615,1.09619,1.10615,1.08615,Profit
Sell,2.0,1.09615,1.09619,1.10615,1.08615,Profit
Sell,2.0,1.09615,1.0962,1.10615,1.08615,Profit
Sell,2.0,1.09615,1.09627,1.10615,1.08615,Profit
