Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome,Profit_Loss,Trade_Open_Time,Trade_Close_Time,Duration
Buy,2.0,1.09382,1.09388,1.08382,1.10382,Profit,0.00011999999999989797,2024-10-11 13:08:46.001380,2024-10-11 13:09:16.541395,0 days 00:00:30.540015
Buy,2.0,1.09393,1.0939,1.08393,1.10393,Loss,-5.999999999994898e-05,2024-10-11 13:09:17.103801,2024-10-11 13:09:47.617634,0 days 00:00:30.513833
Buy,2.0,1.09394,1.09387,1.08394,1.10394,Loss,-0.000140000000000029,2024-10-11 13:09:48.258945,2024-10-11 13:10:19.055075,0 days 00:00:30.796130
Buy,2.0,1.09391,1.09384,1.08391,1.10391,Loss,-0.000140000000000029,2024-10-11 13:10:19.732479,2024-10-11 13:10:50.360953,0 days 00:00:30.628474
Buy,2.0,1.09388,1.09386,1.08388,1.10388,Loss,-3.999999999981796e-05,2024-10-11 13:10:50.892800,2024-10-11 13:11:21.494394,0 days 00:00:30.601594
Buy,2.0,1.09391,1.09384,1.08391,1.10391,Loss,-0.000140000000000029,2024-10-11 13:11:22.003428,2024-10-11 13:11:52.674810,0 days 00:00:30.671382
Buy,2.0,1.09388,1.09389,1.08388,1.10388,Profit,2.0000000000131024e-05,2024-10-11 13:11:53.247048,2024-10-11 13:12:23.860925,0 days 00:00:30.613877
Buy,2.0,1.09392,1.09389,1.08392,1.10392,Loss,-5.999999999994898e-05,2024-10-11 13:12:24.480875,2024-10-11 13:12:55.080828,0 days 00:00:30.599953
Buy,2.0,1.09393,1.09385,1.08393,1.10393,Loss,-0.00016000000000016001,2024-10-11 13:12:55.850864,2024-10-11 13:13:26.515108,0 days 00:00:30.664244
Buy,2.0,1.09389,1.09385,1.08389,1.10389,Loss,-8.000000000008001e-05,2024-10-11 13:13:27.038355,2024-10-11 13:13:57.578296,0 days 00:00:30.539941
Buy,2.0,1.0939,1.09377,1.0839,1.1039,Loss,-0.00026000000000037105,2024-10-11 13:13:58.190674,2024-10-11 13:14:28.910277,0 days 00:00:30.719603
Buy,2.0,1.09381,1.09376,1.08381,1.10381,Loss,-9.999999999976694e-05,2024-10-11 13:14:29.501526,2024-10-11 13:14:59.989465,0 days 00:00:30.487939
Buy,2.0,1.09378,1.09374,1.08378,1.10378,Loss,-8.000000000008001e-05,2024-10-11 13:15:00.648753,2024-10-11 13:15:31.304740,0 days 00:00:30.655987
Buy,2.0,1.09379,1.09373,1.08379,1.10379,Loss,-0.00011999999999989797,2024-10-11 13:15:31.765552,2024-10-11 13:16:02.300159,0 days 00:00:30.534607
Buy,2.0,1.09377,1.09372,1.08377,1.10377,Loss,-9.999999999976694e-05,2024-10-11 13:16:02.885597,2024-10-11 13:16:33.500027,0 days 00:00:30.614430
Buy,2.0,1.09377,1.09367,1.08377,1.10377,Loss,-0.00019999999999997797,2024-10-11 13:16:34.007253,2024-10-11 13:17:04.821338,0 days 00:00:30.814085
Buy,2.0,1.09371,1.09367,1.08371,1.10371,Loss,-8.000000000008001e-05,2024-10-11 13:17:05.352898,2024-10-11 13:17:35.839792,0 days 00:00:30.486894
Buy,2.0,1.09372,1.09369,1.08372,1.10372,Loss,-5.999999999994898e-05,2024-10-11 13:17:36.379871,2024-10-11 13:18:06.870009,0 days 00:00:30.490138
Buy,2.0,1.09374,1.09366,1.08374,1.10374,Loss,-0.00015999999999971593,2024-10-11 13:18:07.524869,2024-10-11 13:18:38.070466,0 days 00:00:30.545597
Buy,2.0,1.09371,1.09366,1.08371,1.10371,Loss,-9.999999999976694e-05,2024-10-11 13:18:38.580186,2024-10-11 13:19:09.236805,0 days 00:00:30.656619
Buy,2.0,1.09371,1.09372,1.08371,1.10371,Profit,2.0000000000131024e-05,2024-10-11 13:19:09.939608,2024-10-11 13:19:40.524428,0 days 00:00:30.584820
Buy,2.0,1.09376,1.09373,1.08376,1.10376,Loss,-5.999999999994898e-05,2024-10-11 13:19:41.067474,2024-10-11 13:20:11.549054,0 days 00:00:30.481580
Buy,2.0,1.09377,1.09373,1.08377,1.10377,Loss,-7.999999999963592e-05,2024-10-11 13:20:12.952237,2024-10-11 13:20:43.508956,0 days 00:00:30.556719
Buy,2.0,1.09377,1.09374,1.08377,1.10377,Loss,-5.999999999994898e-05,2024-10-11 13:20:43.990990,2024-10-11 13:21:14.508971,0 days 00:00:30.517981
Buy,2.0,1.09377,1.09372,1.08377,1.10377,Loss,-9.999999999976694e-05,2024-10-11 13:21:15.060087,2024-10-11 13:21:45.544769,0 days 00:00:30.484682
Buy,2.0,1.09376,1.09374,1.08376,1.10376,Loss,-4.000000000026205e-05,2024-10-11 13:21:46.020178,2024-10-11 13:22:16.882778,0 days 00:00:30.862600
Buy,2.0,1.0937999999999999,1.09377,1.0837999999999999,1.1038,Loss,-5.999999999994898e-05,2024-10-11 13:22:18.228770,2024-10-11 13:22:48.908845,0 days 00:00:30.680075
Buy,2.0,1.09383,1.09383,1.08383,1.10383,Loss,0.0,2024-10-11 13:22:50.378598,2024-10-11 13:23:20.921048,0 days 00:00:30.542450
Buy,2.0,1.09388,1.0937999999999999,1.08388,1.10388,Loss,-0.00016000000000016001,2024-10-11 13:23:21.605126,2024-10-11 13:23:52.122592,0 days 00:00:30.517466
Buy,2.0,1.09384,1.09377,1.08384,1.10384,Loss,-0.000140000000000029,2024-10-11 13:23:52.608920,2024-10-11 13:24:23.107759,0 days 00:00:30.498839
Buy,2.0,1.09381,1.09377,1.08381,1.10381,Loss,-8.000000000008001e-05,2024-10-11 13:24:23.659178,2024-10-11 13:24:54.128426,0 days 00:00:30.469248
Buy,2.0,1.09381,1.09372,1.08381,1.10381,Loss,-0.00017999999999984695,2024-10-11 13:24:54.613110,2024-10-11 13:25:25.167264,0 days 00:00:30.554154
