Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome,Profit_Loss,Trade_Open_Time,Trade_Close_Time,Duration,Prediction,Margin
Buy,,1.08915,1.0890900000000001,1.0891,1.08935,Loss,-5.999999999994898e-05,2024-10-16 12:14:43.036080,2024-10-16 12:15:43.192004,0 days 00:01:00.155924,1.0,1.0
Buy,,1.0890900000000001,1.08924,1.08904,1.08929,Profit,0.00014999999999987246,2024-10-16 12:15:43.693059,2024-10-16 12:16:43.930953,0 days 00:01:00.237894,1.0,1.0
Buy,,1.08924,1.08956,1.0891899999999999,1.08944,Profit,0.000320000000000098,2024-10-16 12:16:44.438874,2024-10-16 12:17:44.591710,0 days 00:01:00.152836,1.0,1.0
Sell,,1.08952,1.08933,1.0895700000000001,1.08932,Profit,0.0001900000000001345,2024-10-16 12:17:45.132889,2024-10-16 12:18:45.302616,0 days 00:01:00.169727,0.0,1.0
Sell,,1.08933,1.08935,1.08938,1.08913,Loss,-2.0000000000131024e-05,2024-10-16 12:18:45.782358,2024-10-16 12:19:46.002999,0 days 00:01:00.220641,0.0,1.0
Buy,,1.08939,1.08929,1.08934,1.08959,Loss,-9.999999999998899e-05,2024-10-16 12:19:46.466683,2024-10-16 12:20:47.285893,0 days 00:01:00.819210,1.0,1.0
Sell,,1.08925,1.08931,1.0893000000000002,1.08905,Loss,-5.999999999994898e-05,2024-10-16 12:20:47.772299,2024-10-16 12:21:47.963565,0 days 00:01:00.191266,0.0,1.0
Sell,,1.0893,1.08936,1.08935,1.0891,Loss,-6.000000000017103e-05,2024-10-16 12:21:48.460906,2024-10-16 12:22:49.396885,0 days 00:01:00.935979,0.0,1.0
Buy,,1.08941,1.08938,1.0893599999999999,1.08961,Loss,-2.999999999997449e-05,2024-10-16 12:22:49.891725,2024-10-16 12:23:50.075990,0 days 00:01:00.184265,1.0,1.0
Buy,,1.08938,1.08924,1.08933,1.08958,Loss,-0.000140000000000029,2024-10-16 12:23:50.533965,2024-10-16 12:24:50.739868,0 days 00:01:00.205903,1.0,1.0
